dataset,service,fault_type,case_id,n_nodes,n_edges,edge_density,elapsed_sec,top1_node,top3_nodes,ground_truth_service,ground_truth_metric,Top-1 Acc,Top-3 Acc,Top-5 Acc,Svc-AC@1,Svc-AC@3,Svc-AC@5,Mtr-AC@1,Mtr-AC@3,Mtr-AC@5,Svc_Rank,Mtr_Rank
RE1-OB,productcatalogservice,loss,1,46,1898,0.9169,23.92,checkoutservice_cpu,checkoutservice_cpu|emailservice_cpu|productcatalogservice_cpu,productcatalogservice,latency,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3,39
RE1-OB,productcatalogservice,loss,2,46,1904,0.9198,24.52,checkoutservice_cpu,checkoutservice_cpu|main_cpu|redis_cpu,productcatalogservice,latency,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,35
RE1-OB,productcatalogservice,loss,3,45,1804,0.9111,24.42,recommendationservice_cpu,recommendationservice_cpu|checkoutservice_mem|productcatalogservice_mem,productcatalogservice,latency,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3,34
RE1-OB,productcatalogservice,loss,4,45,1777,0.8975,24.61,adservice_cpu,adservice_cpu|frontend_cpu|redis_cpu,productcatalogservice,latency,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9,32
RE1-OB,productcatalogservice,loss,5,45,1804,0.9111,25.56,currencyservice_cpu,currencyservice_cpu|recommendationservice_cpu|productcatalogservice_mem,productcatalogservice,latency,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3,37
RE1-OB,productcatalogservice,mem,1,46,1794,0.8667,33.05,cartservice_cpu,cartservice_cpu|main_cpu|checkoutservice_mem,productcatalogservice,mem,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,21
RE1-OB,productcatalogservice,mem,2,46,1876,0.9063,33.88,frontend-external_error,frontend-external_error|main_cpu|productcatalogservice_cpu,productcatalogservice,mem,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3,17
RE1-OB,productcatalogservice,mem,3,46,1850,0.8937,33.93,frontend_cpu,frontend_cpu|paymentservice_cpu|emailservice_cpu,productcatalogservice,mem,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,16
RE1-OB,productcatalogservice,mem,4,45,1767,0.8924,33.51,checkoutservice_cpu,checkoutservice_cpu|main_cpu|currencyservice_cpu,productcatalogservice,mem,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,29
RE1-OB,productcatalogservice,mem,5,45,1760,0.8889,43.8,frontend_cpu,frontend_cpu|currencyservice_mem|checkoutservice_cpu,productcatalogservice,mem,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,19
